Art ID,Artist,Title,Gallery Price,Year
"G10236","WARHOL_ ANDY","LOVE FS II.311","90000.0000","1983"
"G10243","WARHOL_ ANDY","PLAINS INDIAN SHIELD FS II.382","90000.0000","1986"
"G10249","WARHOL_ ANDY","FLOWERS FS II.116 (HAND COLORED) ","25000.0000","1974"
"G10722","WARHOL_ ANDY","LADIES & GENTLEMEN FS II.138","32500.0000","1975"
"G10758","WARHOL_ ANDY","LADIES & GENTLEMEN FS II.130","32500.0000","1975"
"G10759","WARHOL_ ANDY","LADIES & GENTLEMEN FS II.137","32500.0000","1975"
"G10811","WARHOL_ ANDY","INDIAN HEAD NICKEL FS II.385","180000.0000","1986"
"G11266","WARHOL_ ANDY","NORTHWEST COAST MASK FS II.380","80000.0000","1986"
"G11267","WARHOL_ ANDY","KACHINA DOLLS FS II.381","125000.0000","1986"
"G12511","WARHOL_ ANDY","FLOWERS #71 SUNDAY B. MORNING","750.0000","0"
"G12512","WARHOL_ ANDY","FLOWERS #67 SUNDAY B. MORNING","750.0000","0"
"G12513","WARHOL_ ANDY","FLOWERS #65 SUNDAY B. MORNING","750.0000","0"
"G12514","WARHOL_ ANDY","FLOWERS #70 SUNDAY B. MORNING","750.0000","0"
"G12540","WARHOL_ ANDY","MICK JAGGER FS II.147","0.0000","1975"
"G13182","WARHOL_ ANDY","CAMPBELLS SOUP: TOMATO SUNDAY B. MORNING","500.0000","0"
"G13184","WARHOL_ ANDY","CAMPBELLS - CONSUMME BEEF SUNDAY B. MORNING","600.0000","0"
"G13185","WARHOL_ ANDY","CAMPBELLS SOUP: BLACK BEAN SUNDAY B. MORNING","500.0000","0"
"G13186","WARHOL_ ANDY","CAMPBELLS SOUP: CHICKEN NOODLE SUNDAY B. MORNING","500.0000","0"
"G13187","WARHOL_ ANDY","CAMPBELLS SOUP: ONION SUNDAY B. MORNING","500.0000","0"
"G13189","WARHOL_ ANDY","CAMPBELLS SOUP: VEGETABLE SUNDAY B. MORNING","500.0000","0"
"G13190","WARHOL_ ANDY","CAMPBELLS SOUP: BEEF SUNDAY B. MORNING","500.0000","0"
"G13772","WARHOL_ ANDY","FLOWERS PORTFOLIO SUNDAY B. MORNING","5000.0000","1980"
"G13966","WARHOL_ ANDY","COW FS II.12A","69500.0000","1976"
"G15275","WARHOL_ ANDY","MARILYN II.22 SUNDAY B. MORNING","500.0000","1980"
"G15276","WARHOL_ ANDY","MARILYN II.23 SUNDAY B. MORNING","500.0000","1980"
"G15278","WARHOL_ ANDY","MARILYN II.25 SUNDAY B. MORNING","500.0000","1980"
"G15279","WARHOL_ ANDY","MARILYN II.26 SUNDAY B. MORNING","500.0000","1980"
"G15280","WARHOL_ ANDY","MARILYN II.27 SUNDAY B. MORNING","500.0000","1980"
"G15281","WARHOL_ ANDY","MARILYN II.28 SUNDAY B. MORNING","500.0000","1980"
"G15282","WARHOL_ ANDY","MARILYN II.29 SUNDAY B. MORNING","500.0000","1980"
"G15284","WARHOL_ ANDY","MARILYN II.31 SUNDAY B. MORNING","500.0000","1980"
"G15307","WARHOL_ ANDY","MAO 1 SUNDAY B. MORNING","500.0000","0"
"G15308","WARHOL_ ANDY","MAO 2 SUNDAY B. MORNING","500.0000","0"
"G15309","WARHOL_ ANDY","MAO 3 SUNDAY B. MORNING","500.0000","0"
"G15310","WARHOL_ ANDY","MAO 4 SUNDAY B. MORNING","500.0000","0"
"G15311","WARHOL_ ANDY","MAO 5 SUNDAY B. MORNING","500.0000","0"
"G15313","WARHOL_ ANDY","FLOWERS 2 SUNDAY B. MORNING","750.0000","0"
"G15321","WARHOL_ ANDY","CAMPBELLS'S SOUP: PEPPER POT","500.0000","0"
"G15448","WARHOL_ ANDY","CAMPBELL'S SOUP: GREEN PEA SUNDAY B. MORNING","500.0000","0"
"G15451","WARHOL_ ANDY","CAMPBELL'S SOUP: CREAM OF MUSHROOM SUNDAY B. MORNING","500.0000","0"
"G15742","WARHOL_ ANDY","SAINT APOLLONIA FS II.332","49500.0000","1984"
"G15744","WARHOL_ ANDY","WILD RASPBERRIES ","135000.0000","0"
"G16198","WARHOL_ ANDY","NORTHWEST COAST MASK FS II.380","150000.0000","1986"
"G16199","WARHOL_ ANDY","TEDDY ROOSEVELT FS II.386","199500.0000","1986"
"G16424","WARHOL_ ANDY","ENDANGERED SPECIES: BALD EAGLE FS II.296","390000.0000","1983"
"G18094","WARHOL_ ANDY","WAYNE GRETZKY FS II.306","35000.0000","1984"
"G18262","WARHOL_ ANDY","GERONIMO FS II.384 ","99500.0000","1986"
